topic_index,topic_id,topic_title,tag_id,tag_name,level,is_new,topic_is_show,question_index,question_id,part,question_is_show,content
1,1919,新法律 + 重要决定 + 动物故事书 + 困难后成功的人,19,事物,0,1,1,1,6277,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
2,1918,无聊地方 + 科技问题 + 近期看的节目 + 花很久回信息,19,事物,0,1,1,1,6276,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
3,1917,高建筑 + 特别场合食物 + 喜欢拜访但不想住的家 + 改变重要想法,19,事物,0,1,1,1,6275,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
4,1916,喜欢种菜的人 + 团队中工作 + 名人广告 + 坏掉的电子设备,18,人物,0,1,1,1,6274,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
5,1915,最喜欢的城市 + 想旅游的地方 + 喜欢现场体育赛事 + 推荐旅行过的地方,21,地点,0,1,1,1,6273,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
6,1914,发小 + 早起经历 + 近期改变的计划 + 别人帮助解决问题 + 长久目标,18,人物,0,1,1,1,6272,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
7,1150,童年玩具/生活中离不开的东西,19,事物,1,0,1,1,3353,4,1,童年玩具 Describe the toy you played with as a child You should say: What it was What it was like How you played with it And explain why you played with it 生活中离不开的东西 Describe something that you can't live without (not a computer/phone) You should say: What it is What you do with it How it helps you in your life And explain why you can't live without it
8,1142,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方,18,人物,1,0,1,1,3336,4,1,远距离步行/想共度时光的人/计划多人活动/照片/美丽天空/户外运动的地方 Describe an outdoor sport you would like to do Describe a photo that you enjoy looking at Describe a time when you and some other people made a plan to do an activity Describe a beautiful sky you enjoyed seeing Describe a place you went to and an outdoor activity you did there
9,1879,给别人建议 + 擅长做计划的人 + 乐于助人的人+ 鼓励保护自然的人,18,人物,1,0,1,1,6092,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
10,1878,自行车/摩托车/汽车旅行 + 外国的短期停留 + 想见的名人 + 花费超过预期的物品,20,事件,1,0,1,1,6091,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
11,1877,喜欢画画的孩子 + 最近读过的故事 + 有趣的建筑 + 不享受的音乐活动,19,事物,1,0,1,1,6090,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
12,1876,朋友学的技能 + App/程序 + 机智解决问题的人 + 鼓励别人做不愿做的事,18,人物,1,0,1,1,6089,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
13,1875,商场 + 禁用手机的场合 + 微笑的场合 + 近期观影,21,地点,1,0,1,1,6088,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
14,1874,完美工作 + 想拥有的科技产品 + 擅长做计划的人 + 发挥想象力,20,事件,1,0,1,1,6087,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
15,1873,让你骄傲的家人 + 对家庭重要的东西 + 鼓励你保护自然的人 + 乐于助人的人,18,人物,1,0,1,1,6086,4,1,同学可以结合题库的具体问题，练习素材。 1.为了更好的匹配每一道题，素材本身的字数会超过真实的考试同学们能表达字数。 2.针对不同的问法，同学的开头和结尾需要进行调整。 3.一定要注意表达的自然程度~必要时增加重音，表情和手势
16,1796,想见的名人/时尚人士/奇装异服的人/喜欢的歌手,18,人物,1,0,1,1,5784,4,1,想见的名人/奇装异服的人/喜欢的歌手 Describe a famous person you would like to meet. Describe a person who you think wears unusual clothes. Describe a singer you like
17,1755,家庭重要设备/喜欢的电视剧,19,事物,0,0,1,1,5570,4,1,Describe a piece of equipment that is important in your home You should say: What it is How often you use it With whom you use it And expDescribe a TV series you like You should say: What is the name of the TV series When you watched it What it is about And explain why you like it.lain why it is important；
18,1754,有趣的建筑/和你分享东西的人,19,事物,0,0,1,1,5569,4,1,Describe an interesting building You should say. Where it is What it looks like What function it has And explain why you think it is interesting； Describe someone who is willing to openly share things with you You should say: Who this person is How you knew this person What this person openly shares And how you feel about the sharing
19,1060,花费超过预期的物品/困难的决定,0,,0,0,1,1,3137,4,0,Describe an item on which you spent more than expected Describe a difficult decision that you once made
20,1056,为家人骄傲/（自行车/摩托车/）汽车旅行/想学的感兴趣的技能,0,,0,0,1,1,3133,4,0,Describe a time when you felt proud of a family member Describe a bicycle/motorcycle/car trip you would like to go Describe something that you are interested to learn or improve
21,1055,小学印象最深的人/机智解决问题的人,0,,0,0,1,1,3132,4,0,Describe a person who impressed you most when you were in primary school Describe a person who solved a problem in a smart way
22,1005,（保留）微笑的场合/海边活动/学习工作之余的活动,0,,0,0,1,1,2974,4,0,Describe an occasion when many people were smiling Describe a leisure activity on/near the sea that you want to try Describe an activity that you do after school/ work
23,947,许下的承诺/对家庭重要的东西（保留）,0,,0,0,1,1,2828,4,0,Describe a time you made a promise to someone Describe something important that has been kept in your family for a long time
24,943,发挥想象力/有趣的谈话/给别人建议（保留）,0,,0,0,1,1,2824,4,0,Describe a time you needed to use your imagination Describe an interesting conversation Describe a time when you gave advice to others
25,939,鼓励别人做不愿做的事/好消息（好消息非本季度考题),0,,0,0,1,1,2820,4,0,Describe a time when you encouraged someone to do something that he/she didn't want to do Describe a time when you received good news
26,391,安静的地方/帮助集中注意力的事/最喜欢的歌,0,,0,0,1,1,1399,4,0,Describe a quiet place you found Describe something that can help you concentrate on work/study Describe a favorite song of yours
27,548,助你实现目标的人/乐于助人的人,0,,0,0,1,1,1804,4,0,Describe a person who encouraged and helped you to achieve a goal Describe a person who often helps others
